EmployeeID,HireDate,Gender,Age,Department,JobRole,Education,YearsExperience,Salary,Location
89,2021-06-20,Non-binary,45,HR,Sales Executive,Bachelor,24,112468.97,Chicago
90,2020-11-20,Female,40,Finance,HR Specialist,Master,19,88597.66,San Francisco
91,2017-07-27,Non-binary,59,HR,Sales Executive,Bachelor,14,103044.14,Seattle
92,2021-09-20,Female,44,Sales,Support Agent,High School,6,119038.87,San Francisco
93,2022-09-11,Non-binary,34,HR,Sales Executive,PhD,24,33443.27,Chicago
94,2019-09-16,Female,22,Engineering,Sales Executive,Master,2,134145.98,Austin
95,2015-08-15,Female,30,Sales,Manager,High School,24,46678.89,San Francisco
96,2017-07-04,Non-binary,24,Customer Support,Sales Executive,Master,21,124556.86,Boston
97,2020-01-20,Male,46,Customer Support,Manager,PhD,12,64063.05,San Francisco
98,2021-02-22,Female,29,HR,Manager,PhD,25,46147.65,Boston
99,2016-03-22,Non-binary,63,Engineering,Manager,Master,31,37098.93,Chicago
100,2017-03-29,Male,51,Engineering,Sales Executive,Master,33,43943.65,New York
101,2019-01-16,Non-binary,55,Sales,Engineer,High School,14,83569.12,Chicago
102,2021-10-03,Non-binary,52,Sales,Manager,High School,39,55133.88,Boston
103,2016-02-12,Non-binary,51,HR,Sales Executive,PhD,10,134982.79,San Francisco
104,2017-02-04,Female,60,Marketing,Analyst,Master,31,90164.85,Seattle
105,2019-12-19,Male,54,Marketing,Sales Executive,PhD,13,32215.46,New York
106,2016-02-14,Non-binary,22,Sales,Manager,Bachelor,34,85727.07,Boston
107,2015-09-20,Non-binary,43,HR,Analyst,PhD,8,72333.51,Seattle
108,2019-08-29,Female,45,Customer Support,Sales Executive,Bachelor,37,101394.11,Boston
109,2020-03-09,Male,27,HR,Manager,Bachelor,6,100889.52,Austin
110,2019-07-11,Non-binary,55,Customer Support,Analyst,PhD,34,64968.2,Austin
111,2018-04-25,Male,42,Sales,Sales Executive,Bachelor,37,73653.88,Seattle
112,2019-10-25,Non-binary,60,Sales,Analyst,High School,5,63779.54,New York
113,2020-01-18,Non-binary,58,Engineering,HR Specialist,High School,14,138505.42,Seattle
114,2021-05-23,Non-binary,27,Marketing,Support Agent,Master,21,67695.94,Boston
115,2017-06-08,Female,62,HR,Support Agent,High School,32,60205.71,Seattle
116,2022-03-11,Female,45,Customer Support,Support Agent,Master,19,106749.32,Austin
117,2015-09-01,Non-binary,43,Sales,Sales Executive,PhD,10,57447.11,Boston
118,2016-03-15,Non-binary,56,Finance,Manager,High School,21,103561.16,Chicago
119,2021-05-10,Male,46,Marketing,HR Specialist,High School,27,43106.84,New York
120,2017-03-24,Female,63,Engineering,Analyst,PhD,13,133467.39,New York
121,2019-02-18,Male,59,HR,Sales Executive,Master,18,86584.87,San Francisco
122,2020-11-07,Non-binary,44,Customer Support,Engineer,High School,32,63016.14,Seattle
123,2016-03-05,Non-binary,28,HR,Manager,High School,18,64480.18,Boston
124,2017-03-14,Non-binary,54,Marketing,Analyst,Master,15,73102.51,San Francisco
125,2017-11-06,Male,52,Engineering,Manager,Bachelor,29,80424.81,New York
126,2019-03-29,Male,30,Finance,HR Specialist,PhD,9,96622.92,Seattle
127,2022-04-23,Male,30,Sales,Manager,PhD,37,50552.37,Austin
128,2017-12-27,Female,35,Marketing,HR Specialist,Master,36,44090.57,New York
129,2021-03-18,Female,34,Customer Support,Sales Executive,PhD,6,32015.03,New York
130,2017-02-27,Non-binary,26,Finance,HR Specialist,PhD,34,53499.89,Chicago
131,2020-12-26,Male,59,Engineering,Engineer,PhD,3,82266.76,New York
132,2022-09-25,Female,53,Sales,Analyst,Master,36,44922.88,San Francisco
133,2016-04-18,Male,40,Sales,Engineer,Bachelor,27,77791.69,Austin
134,2022-07-23,Female,56,Customer Support,Analyst,Master,20,141244.66,New York
135,2018-12-09,Male,43,Finance,HR Specialist,PhD,16,134355.63,Seattle
136,2020-04-16,Non-binary,42,Finance,Engineer,PhD,29,57142.9,San Francisco
137,2019-08-10,Female,34,Finance,Engineer,High School,19,102391.58,Chicago
138,2018-10-05,Non-binary,29,Engineering,Engineer,Bachelor,6,97461.3,New York
139,2019-06-17,Female,49,HR,Sales Executive,PhD,19,44303.46,Chicago
140,2016-07-10,Female,64,Sales,Engineer,Master,30,136345.01,Chicago
141,2017-12-17,Male,49,Customer Support,Manager,Master,5,42256.56,Seattle
142,2021-08-28,Non-binary,39,Engineering,Manager,Bachelor,30,131604.97,Seattle
143,2017-02-07,Male,46,Customer Support,Analyst,Master,26,86033.96,Boston
144,2019-05-29,Non-binary,58,Customer Support,Engineer,Bachelor,13,104741.48,Seattle
145,2019-11-04,Non-binary,43,Marketing,Analyst,Bachelor,22,124325.26,Seattle
146,2016-11-25,Non-binary,24,Customer Support,Support Agent,Bachelor,21,112049.61,Seattle
147,2020-02-02,Non-binary,26,HR,Engineer,High School,10,121592.17,Seattle
148,2018-11-14,Non-binary,38,Engineering,Sales Executive,Master,17,31731.6,Boston
149,2018-12-30,Non-binary,39,Customer Support,Sales Executive,High School,9,83836.27,Chicago
150,2015-12-13,Female,46,HR,Support Agent,High School,12,111585.95,Austin
151,2020-09-13,Female,43,Finance,Sales Executive,Master,26,74006.2,Chicago
152,2016-03-27,Female,53,Sales,Engineer,Master,21,70541.51,Boston
153,2017-05-12,Male,43,Sales,Analyst,PhD,34,147412.82,San Francisco
154,2020-06-21,Non-binary,43,HR,Support Agent,High School,0,116344.96,Boston
155,2022-07-05,Non-binary,64,Sales,Support Agent,High School,20,88761.65,New York
156,2018-01-06,Non-binary,64,Engineering,HR Specialist,High School,4,82646.66,San Francisco
157,2015-08-01,Non-binary,50,Sales,Support Agent,PhD,2,143748.2,Austin
158,2021-08-30,Male,52,HR,Sales Executive,High School,29,64837.47,Boston
159,2017-11-04,Non-binary,42,Engineering,Sales Executive,High School,34,135162.82,Boston
160,2020-03-22,Female,56,Marketing,Sales Executive,High School,34,147520.16,San Francisco
161,2015-05-29,Non-binary,25,Customer Support,Manager,PhD,13,107230.81,Boston
162,2021-01-25,Non-binary,34,Customer Support,Sales Executive,High School,23,143956.16,New York
163,2021-10-26,Female,53,Marketing,HR Specialist,PhD,31,51284.5,New York
164,2017-03-07,Male,43,HR,HR Specialist,High School,2,99176.59,Austin
165,2020-06-25,Female,39,Finance,Engineer,Master,31,32617.4,New York
166,2022-08-02,Male,23,Customer Support,Engineer,PhD,10,39101.81,Seattle
167,2016-05-29,Male,60,Customer Support,HR Specialist,Bachelor,29,38560.63,Austin
168,2022-03-08,Female,39,Finance,Sales Executive,PhD,8,135460.73,Boston
169,2018-05-24,Female,29,Customer Support,Manager,High School,38,131240.81,Boston
170,2015-05-26,Female,50,Customer Support,Sales Executive,Master,36,92763.5,New York
171,2018-06-28,Female,29,Engineering,HR Specialist,High School,28,112183.69,Seattle
172,2016-04-22,Non-binary,47,Customer Support,Analyst,PhD,13,42167.78,Boston
173,2017-01-06,Non-binary,36,Customer Support,Sales Executive,Master,36,82936.06,San Francisco
174,2020-10-23,Non-binary,36,Finance,Support Agent,PhD,21,101200.94,Chicago
175,2019-12-28,Female,53,Finance,HR Specialist,PhD,13,68081.76,Austin
176,2016-10-30,Non-binary,46,Customer Support,Analyst,PhD,28,132109.88,San Francisco
177,2018-01-11,Male,22,Engineering,Analyst,PhD,24,94895.64,Austin
178,2017-09-25,Female,35,HR,Engineer,PhD,22,37304.94,San Francisco
179,2018-11-26,Female,56,HR,Engineer,Master,23,84238.19,Austin
180,2020-04-14,Male,45,HR,Analyst,Bachelor,34,122301.1,Seattle
181,2016-10-15,Male,27,Customer Support,Engineer,PhD,27,50579.23,Boston
182,2022-03-26,Female,26,Engineering,Manager,Bachelor,21,143250.96,Austin
183,2022-10-12,Female,23,Finance,Manager,High School,5,134644.75,San Francisco
184,2016-10-17,Non-binary,45,Marketing,Engineer,Master,3,129885.77,Seattle
185,2015-12-31,Male,33,Finance,Sales Executive,Master,11,58553.68,Austin
186,2020-12-10,Male,27,Customer Support,Sales Executive,High School,38,109807.17,New York
187,2020-08-21,Male,27,Sales,Support Agent,Master,22,34199.79,San Francisco
188,2022-04-15,Non-binary,60,HR,Support Agent,Bachelor,22,65449.83,San Francisco
189,2020-09-17,Female,26,Finance,HR Specialist,PhD,1,85041.65,San Francisco
190,2020-03-23,Male,57,HR,Analyst,Master,24,102831.61,Austin
191,2019-12-20,Male,62,Finance,Analyst,Master,25,101305.49,Boston
192,2022-11-11,Male,34,Marketing,Support Agent,PhD,34,83885.78,Seattle
193,2015-11-10,Non-binary,62,Sales,Engineer,PhD,1,120976.97,Boston
194,2015-03-29,Non-binary,59,Customer Support,Support Agent,PhD,30,94039.75,Boston
195,2022-07-02,Male,35,Customer Support,Engineer,High School,18,85379.94,Boston
196,2020-05-22,Male,46,Finance,Support Agent,Master,35,58403.49,San Francisco
197,2017-01-24,Female,26,Finance,Analyst,Master,4,110102.8,Boston
198,2020-08-07,Non-binary,60,Finance,HR Specialist,Bachelor,18,133324.77,Austin
199,2016-05-21,Male,62,Finance,HR Specialist,Master,32,92514.4,San Francisco
200,2022-07-04,Male,28,Customer Support,Manager,Master,2,121956.58,New York
201,2019-08-09,Non-binary,59,Marketing,Manager,Master,12,139489.76,Seattle
202,2016-12-06,Non-binary,26,Customer Support,Sales Executive,Master,3,108624.89,Seattle
203,2015-06-22,Non-binary,64,HR,Sales Executive,Bachelor,25,118942.42,Seattle
204,2015-05-25,Male,29,HR,Sales Executive,Bachelor,8,43553.88,Chicago
205,2018-04-21,Non-binary,59,Marketing,Manager,Master,13,63502.46,Seattle
206,2021-02-09,Male,60,Customer Support,Engineer,Bachelor,9,145961.0,Chicago
207,2015-03-25,Male,50,Finance,Sales Executive,Master,35,131063.25,San Francisco
208,2016-05-17,Female,32,HR,Analyst,Master,27,56262.03,Boston
209,2019-04-28,Non-binary,45,Customer Support,Sales Executive,Master,17,30908.96,Boston
210,2020-06-04,Male,43,Engineering,Engineer,High School,13,52843.46,Austin
211,2022-09-09,Male,49,HR,Manager,Master,38,41113.12,Chicago
212,2022-09-07,Male,60,Finance,HR Specialist,High School,10,99024.18,Chicago
213,2020-01-04,Non-binary,57,Customer Support,Manager,High School,37,53063.57,Seattle
214,2019-07-07,Female,54,Engineering,Analyst,PhD,29,97171.58,Chicago
215,2020-12-01,Non-binary,25,Engineering,Analyst,High School,38,79996.92,Boston
216,2016-04-10,Male,45,Engineering,Analyst,Master,34,32231.41,New York
217,2022-01-20,Female,34,Finance,Analyst,High School,5,80440.76,Austin
218,2017-12-30,Male,57,Marketing,Support Agent,High School,5,118492.47,Seattle
219,2017-09-21,Male,37,Engineering,Sales Executive,Master,15,85914.55,Austin
220,2019-10-27,Male,57,Finance,Analyst,Master,10,87670.53,New York
221,2020-01-20,Male,52,Finance,Analyst,Master,23,118951.77,Austin
222,2016-11-05,Male,40,HR,Sales Executive,Bachelor,11,88254.14,Boston
223,2017-05-20,Male,30,Finance,Support Agent,PhD,6,135870.01,New York
224,2018-03-09,Male,24,Sales,Sales Executive,PhD,38,66894.92,New York
225,2019-12-27,Non-binary,27,HR,Engineer,PhD,20,142643.69,San Francisco
226,2020-02-29,Non-binary,51,Sales,Sales Executive,High School,20,102810.13,San Francisco
227,2016-03-27,Female,41,HR,HR Specialist,Bachelor,6,37024.64,Boston
228,2022-06-17,Non-binary,22,Engineering,HR Specialist,Bachelor,30,116705.22,New York
229,2016-08-20,Female,56,Sales,Sales Executive,High School,16,67521.88,Chicago
230,2022-04-06,Male,28,Engineering,Sales Executive,High School,18,120984.18,Austin
231,2022-04-29,Non-binary,57,Finance,Engineer,Master,37,45905.51,Austin
232,2021-06-30,Female,48,Customer Support,Support Agent,High School,10,116979.21,Seattle
233,2019-10-14,Female,62,Customer Support,Support Agent,Master,34,122526.5,Boston
234,2015-04-30,Female,52,Engineering,Support Agent,PhD,20,44368.6,Austin
235,2017-04-09,Non-binary,61,Finance,Sales Executive,PhD,33,128097.21,Austin
236,2020-11-11,Male,39,Sales,Sales Executive,Bachelor,0,63197.56,Austin
237,2019-03-03,Female,29,Customer Support,Sales Executive,Bachelor,28,53838.24,Chicago
238,2017-03-15,Female,31,Engineering,Engineer,PhD,26,31465.99,Austin
239,2022-02-15,Male,57,Marketing,Engineer,Master,18,70936.27,Chicago
240,2022-09-30,Female,36,Sales,Analyst,PhD,19,79517.56,Boston
241,2015-11-01,Non-binary,27,Engineering,HR Specialist,Bachelor,38,98925.55,Seattle
242,2021-11-19,Non-binary,40,Marketing,Manager,PhD,12,116980.55,Chicago
243,2022-02-05,Non-binary,31,Marketing,Analyst,Master,13,82998.44,San Francisco
244,2021-05-31,Female,60,Sales,Sales Executive,PhD,11,47604.36,Boston
245,2018-08-13,Female,51,Marketing,Sales Executive,PhD,3,64541.69,New York
246,2021-12-20,Male,56,Engineering,Manager,High School,33,38463.57,Austin
247,2022-07-04,Female,56,Engineering,Engineer,Master,20,46540.87,Chicago
248,2018-11-23,Male,63,Customer Support,Support Agent,High School,39,48008.95,Seattle
249,2015-02-08,Male,34,Sales,Engineer,Bachelor,19,70872.29,Boston
250,2016-09-20,Non-binary,43,Customer Support,Engineer,Master,39,121686.58,Austin
251,2015-08-03,Non-binary,55,Finance,HR Specialist,PhD,0,69823.26,New York
252,2018-04-04,Non-binary,50,HR,Sales Executive,Bachelor,25,144102.6,San Francisco
253,2020-12-16,Non-binary,46,Finance,Support Agent,Master,34,51019.55,New York
254,2017-05-22,Male,47,Customer Support,Support Agent,High School,32,71679.3,New York
255,2022-07-10,Male,56,HR,Support Agent,Bachelor,15,59526.79,Seattle
256,2017-03-20,Non-binary,28,Finance,Analyst,Master,10,63535.14,Seattle
257,2020-12-29,Male,63,HR,Engineer,Master,30,58350.2,New York
258,2020-08-02,Male,36,HR,Engineer,PhD,19,96704.49,Boston
259,2020-11-05,Non-binary,22,Customer Support,Support Agent,PhD,9,56307.95,Seattle
260,2020-10-14,Female,35,Sales,Engineer,Bachelor,1,120673.47,Boston
261,2015-11-21,Female,55,Customer Support,Support Agent,PhD,30,84941.51,Boston
262,2021-02-08,Male,56,Customer Support,Engineer,Bachelor,26,93123.18,Austin
263,2022-05-12,Non-binary,33,Marketing,Sales Executive,PhD,22,54934.02,New York
264,2021-07-19,Non-binary,54,Engineering,Sales Executive,High School,38,31042.98,Austin
265,2019-06-08,Male,50,Sales,Sales Executive,Bachelor,36,61932.04,Seattle
266,2022-09-27,Female,22,Marketing,HR Specialist,Master,18,31137.69,Boston
267,2022-08-25,Male,35,Engineering,Support Agent,Bachelor,32,118488.82,Chicago
268,2017-04-13,Non-binary,47,Sales,HR Specialist,High School,16,89850.78,Boston
269,2018-02-28,Male,28,Customer Support,Manager,High School,25,104784.59,New York
270,2021-03-13,Male,57,Engineering,Engineer,Master,10,63843.66,New York
271,2020-09-18,Male,49,Engineering,Manager,PhD,7,30688.2,Seattle
272,2017-01-28,Female,33,Finance,Manager,High School,30,89655.96,Seattle
273,2018-08-09,Non-binary,24,Customer Support,HR Specialist,High School,16,119977.84,Chicago
274,2018-08-08,Female,28,Sales,Manager,Bachelor,3,59343.55,San Francisco
275,2019-06-24,Non-binary,30,Finance,HR Specialist,Master,13,42390.71,Austin
276,2016-10-21,Non-binary,57,Engineering,Analyst,Master,20,62394.89,Seattle
277,2020-12-20,Male,33,Sales,HR Specialist,Master,35,95695.81,New York
278,2019-10-18,Female,48,HR,Analyst,PhD,6,49653.43,Chicago
279,2022-03-19,Female,28,Sales,Analyst,PhD,10,84828.65,New York
280,2017-06-28,Non-binary,60,HR,Engineer,Bachelor,12,104396.17,San Francisco
281,2022-06-14,Female,24,Customer Support,Support Agent,PhD,31,32557.14,Austin
282,2019-08-07,Non-binary,31,Customer Support,HR Specialist,PhD,12,88677.71,Austin
283,2018-09-30,Non-binary,60,Customer Support,HR Specialist,Master,25,62324.43,Chicago
284,2022-06-04,Female,26,Customer Support,Engineer,High School,18,119757.8,Austin
285,2015-08-23,Male,59,Finance,Sales Executive,Master,35,71217.46,Boston
286,2019-05-15,Male,24,Sales,Analyst,Bachelor,25,66458.28,Chicago
287,2021-12-27,Female,37,Finance,Support Agent,High School,18,55040.87,New York
288,2017-10-29,Male,59,Finance,HR Specialist,Master,24,134559.48,Boston
289,2019-06-02,Male,29,Sales,Support Agent,High School,32,66736.62,Austin
290,2015-10-31,Non-binary,53,Marketing,Manager,Bachelor,25,140409.69,New York
291,2022-09-08,Male,38,Engineering,Sales Executive,High School,2,148295.07,San Francisco
292,2016-03-05,Male,24,Finance,Sales Executive,Master,10,53225.79,San Francisco
293,2019-12-23,Male,57,Finance,Manager,Master,37,79743.14,Austin
294,2018-10-24,Non-binary,37,Finance,Analyst,PhD,1,36208.54,Austin
295,2020-05-05,Female,63,Engineering,Support Agent,PhD,16,142976.75,San Francisco
296,2016-07-04,Female,49,HR,Sales Executive,High School,29,107002.94,Austin
297,2021-11-17,Male,33,Marketing,Sales Executive,Master,27,116767.4,Seattle
298,2015-08-04,Male,22,Customer Support,HR Specialist,Master,18,75283.0,Chicago
299,2016-04-13,Female,48,Marketing,Analyst,Master,38,50094.74,Austin
300,2015-12-24,Non-binary,29,Customer Support,HR Specialist,Bachelor,21,94364.54,New York
301,2020-10-09,Non-binary,52,HR,Analyst,High School,11,103446.86,Austin
302,2017-02-22,Female,58,Marketing,HR Specialist,PhD,37,73891.02,New York
303,2021-09-17,Non-binary,52,Marketing,Manager,Bachelor,7,91880.82,Chicago
304,2016-10-22,Non-binary,41,Finance,Sales Executive,Bachelor,7,59591.07,Boston
305,2018-03-01,Female,49,Marketing,Sales Executive,Master,26,88459.46,Austin
306,2021-08-02,Female,36,Sales,Sales Executive,PhD,2,137995.2,Austin
307,2015-01-12,Female,46,Engineering,Sales Executive,Master,8,145268.18,New York
308,2018-08-21,Female,34,HR,Support Agent,PhD,1,107462.72,Seattle
309,2020-04-10,Female,31,Finance,Sales Executive,High School,36,103200.39,Austin
310,2022-05-29,Non-binary,44,Sales,Analyst,Bachelor,24,46630.42,San Francisco
311,2018-10-17,Non-binary,35,Engineering,Sales Executive,Master,19,106924.33,Boston
312,2022-07-27,Non-binary,58,Sales,Analyst,High School,12,60929.01,New York
313,2015-07-06,Non-binary,26,Engineering,HR Specialist,Bachelor,25,136588.79,San Francisco
314,2016-04-01,Male,23,Engineering,Sales Executive,PhD,7,130072.3,San Francisco
315,2019-11-23,Non-binary,43,Marketing,Manager,Bachelor,8,133103.66,San Francisco
316,2017-02-07,Male,25,Marketing,HR Specialist,High School,27,95306.63,Boston
317,2021-10-19,Female,37,HR,Engineer,PhD,6,78744.96,Chicago
318,2019-07-18,Male,63,Sales,Sales Executive,Bachelor,35,117884.52,Boston
319,2015-06-08,Female,61,Sales,Support Agent,Bachelor,1,65230.1,Boston
320,2019-07-05,Male,55,Finance,HR Specialist,Bachelor,8,146676.82,Boston
321,2018-05-19,Male,38,HR,Sales Executive,PhD,18,67869.9,Austin
322,2018-07-31,Non-binary,44,HR,Sales Executive,Bachelor,28,141884.48,San Francisco
323,2021-07-02,Non-binary,47,Engineering,Support Agent,PhD,9,93006.43,Austin
324,2016-03-13,Non-binary,26,Engineering,Engineer,High School,34,40452.2,Austin
325,2020-07-29,Non-binary,52,Engineering,Sales Executive,Bachelor,23,54759.01,San Francisco
326,2020-01-12,Female,51,HR,Support Agent,Bachelor,10,32813.13,New York
327,2018-08-12,Female,31,Engineering,Engineer,Master,28,62068.14,San Francisco
328,2018-09-30,Male,32,HR,Manager,Bachelor,22,87845.47,Boston
329,2018-12-29,Non-binary,30,Marketing,Sales Executive,Bachelor,27,79562.71,Chicago
330,2017-07-31,Male,52,Marketing,HR Specialist,Master,25,110211.75,Boston
331,2021-06-22,Non-binary,62,Finance,Manager,Bachelor,34,114386.71,San Francisco
332,2019-01-28,Male,29,Engineering,Sales Executive,Bachelor,4,143871.93,San Francisco
333,2020-10-29,Non-binary,23,Marketing,Sales Executive,Master,31,115309.45,Chicago
334,2016-09-25,Female,56,Sales,Support Agent,PhD,37,32794.27,New York
335,2015-02-04,Male,62,HR,Engineer,High School,4,148418.49,Austin
336,2018-05-18,Female,41,Finance,Manager,Bachelor,6,128220.36,New York
337,2016-04-15,Female,51,Finance,Manager,PhD,9,46266.73,Chicago
338,2020-01-14,Non-binary,51,Sales,Sales Executive,Master,27,117179.32,Boston
339,2016-01-11,Female,43,Engineering,Engineer,Bachelor,27,144090.75,New York
340,2022-08-09,Non-binary,44,Finance,Analyst,Bachelor,25,107016.46,New York
341,2018-07-09,Female,61,HR,HR Specialist,Master,20,109456.54,New York
