OrderID,OrderDate,CustomerName,Region,Category,Product,Quantity,UnitPrice,TotalPrice
45,2024-01-21,Hannah,North,Mobile,Headphones,19,186.78,3548.82
46,2024-11-24,Diana,South,Accessories,Laptop,11,127.6,1403.6
47,2024-06-15,Fiona,East,Mobile,Mouse,16,64.47,1031.52
48,2024-09-30,George,South,Computing,Charger,12,22.63,271.56
49,2024-03-29,Alice,South,Mobile,Monitor,8,878.73,7029.84
50,2024-11-11,Alice,North,Mobile,Smartphone,3,810.04,2430.12
51,2024-01-14,George,East,Electronics,Charger,2,569.98,1139.96
52,2024-08-29,George,West,Electronics,Laptop,6,998.73,5992.38
53,2024-09-21,George,South,Electronics,Mouse,16,953.29,15252.64
54,2024-12-11,Bob,North,Computing,Mouse,15,656.83,9852.45
55,2024-02-22,Alice,North,Mobile,Laptop,14,467.25,6541.5
56,2024-12-05,George,West,Electronics,Headphones,2,156.41,312.82
57,2024-04-01,Bob,North,Electronics,Keyboard,18,518.02,9324.36
58,2024-09-20,Edward,South,Electronics,Monitor,14,161.95,2267.3
59,2024-02-04,Hannah,North,Computing,Keyboard,18,401.46,7226.28
60,2024-07-24,Bob,East,Computing,Mouse,2,942.93,1885.86
61,2024-03-21,Alice,East,Mobile,Monitor,1,345.27,345.27
62,2024-02-19,Fiona,South,Mobile,Mouse,2,157.02,314.04
63,2024-12-25,Edward,East,Mobile,Smartphone,9,584.48,5260.32
64,2024-01-02,Alice,West,Electronics,Smartphone,9,604.35,5439.15
65,2024-02-23,Hannah,North,Accessories,Laptop,16,197.84,3165.44
66,2024-04-15,Bob,South,Computing,Monitor,11,200.6,2206.6
67,2024-09-16,Charlie,West,Electronics,Monitor,6,989.6,5937.6
68,2024-11-05,Diana,North,Electronics,Mouse,12,247.06,2964.72
69,2024-07-09,Hannah,West,Mobile,Keyboard,3,839.0,2517.0
70,2024-08-05,Alice,South,Mobile,Smartphone,12,472.97,5675.64
71,2024-02-13,George,South,Electronics,Tablet,1,437.81,437.81
72,2024-06-10,Bob,West,Computing,Laptop,9,298.49,2686.41
73,2024-07-20,George,North,Computing,Charger,6,774.96,4649.76
74,2024-09-26,George,East,Electronics,Monitor,11,881.26,9693.86
75,2024-12-16,George,East,Accessories,Headphones,3,264.82,794.46
76,2024-10-30,George,West,Accessories,Headphones,4,99.62,398.48
77,2024-09-27,George,South,Computing,Tablet,10,141.23,1412.3
78,2024-08-02,Edward,North,Mobile,Smartphone,19,793.84,15082.96
79,2024-09-08,Alice,North,Accessories,Smartphone,6,438.65,2631.9
80,2024-07-08,Hannah,South,Accessories,Smartphone,1,136.26,136.26
81,2024-10-22,Alice,East,Mobile,Keyboard,8,343.59,2748.72
82,2024-07-31,Hannah,North,Accessories,Mouse,8,516.66,4133.28
83,2024-07-26,Diana,West,Electronics,Headphones,6,852.79,5116.74
84,2024-08-24,Bob,East,Accessories,Smartphone,17,643.53,10940.01
85,2024-12-03,Charlie,West,Mobile,Headphones,19,180.15,3422.85
86,2024-02-22,Edward,East,Electronics,Tablet,1,162.91,162.91
87,2024-10-06,Bob,South,Accessories,Laptop,15,415.27,6229.05
88,2024-08-04,Edward,West,Computing,Mouse,13,79.82,1037.66
89,2024-09-08,Hannah,West,Electronics,Keyboard,3,756.8,2270.4
90,2024-07-06,Alice,South,Electronics,Monitor,2,404.45,808.9
91,2024-02-10,George,West,Computing,Tablet,3,346.31,1038.93
92,2024-06-05,Diana,East,Computing,Mouse,9,511.56,4604.04
93,2024-01-15,Diana,North,Accessories,Headphones,16,710.41,11366.56
94,2024-10-27,Fiona,North,Accessories,Tablet,13,571.5,7429.5
95,2024-03-05,Charlie,South,Mobile,Monitor,19,803.39,15264.41
96,2024-12-10,Diana,East,Mobile,Mouse,18,631.22,11361.96
97,2024-11-22,George,West,Electronics,Keyboard,12,789.03,9468.36
98,2024-01-09,Alice,West,Computing,Charger,12,698.3,8379.6
99,2024-12-09,Charlie,North,Computing,Laptop,1,197.16,197.16
100,2024-05-08,Hannah,West,Mobile,Monitor,8,57.09,456.72
101,2024-05-15,Bob,North,Electronics,Mouse,17,903.88,15365.96
102,2024-03-03,Hannah,South,Electronics,Keyboard,7,945.93,6621.51
103,2024-05-18,George,West,Mobile,Headphones,9,728.3,6554.7
104,2024-03-21,George,East,Mobile,Monitor,17,725.58,12334.86
105,2024-06-11,Diana,West,Mobile,Charger,10,273.8,2738.0
106,2024-10-15,Charlie,North,Accessories,Tablet,4,544.73,2178.92
107,2024-09-17,Alice,South,Electronics,Smartphone,7,992.28,6945.96
108,2024-08-18,Hannah,North,Electronics,Tablet,7,856.86,5998.02
109,2024-02-10,Fiona,West,Electronics,Headphones,8,307.87,2462.96
110,2024-01-28,Hannah,North,Mobile,Mouse,8,304.54,2436.32
111,2024-05-14,Edward,North,Mobile,Charger,16,486.16,7778.56
112,2024-07-19,Edward,South,Mobile,Laptop,12,407.58,4890.96
113,2024-11-23,Alice,East,Mobile,Monitor,15,374.3,5614.5
114,2024-09-24,Alice,West,Computing,Mouse,8,628.84,5030.72
115,2024-02-02,Edward,South,Mobile,Laptop,9,16.44,147.96
116,2024-02-17,Fiona,East,Accessories,Headphones,3,764.52,2293.56
117,2024-03-02,Charlie,North,Computing,Monitor,16,741.35,11861.6
118,2024-08-03,Edward,East,Computing,Keyboard,15,831.17,12467.55
119,2024-10-19,Alice,North,Mobile,Keyboard,4,842.24,3368.96
120,2024-04-08,Diana,North,Electronics,Mouse,16,568.57,9097.12
121,2024-06-20,Bob,South,Mobile,Tablet,10,781.17,7811.7
122,2024-12-25,Fiona,North,Electronics,Mouse,11,494.93,5444.23
123,2024-08-01,George,South,Mobile,Tablet,5,951.77,4758.85
124,2024-02-04,Fiona,East,Mobile,Charger,11,194.75,2142.25
125,2024-08-14,Diana,East,Electronics,Headphones,13,916.04,11908.52
126,2024-04-10,Diana,North,Electronics,Keyboard,15,262.24,3933.6
127,2024-05-10,George,South,Electronics,Charger,6,107.21,643.26
128,2024-09-13,Hannah,North,Electronics,Monitor,16,441.91,7070.56
129,2024-01-05,Alice,South,Accessories,Keyboard,15,616.84,9252.6
130,2024-08-05,Edward,South,Electronics,Tablet,11,234.83,2583.13
131,2024-09-11,Hannah,South,Mobile,Mouse,2,558.02,1116.04
132,2024-12-24,Charlie,East,Mobile,Headphones,2,808.85,1617.7
133,2024-10-09,Fiona,South,Accessories,Keyboard,12,260.8,3129.6
134,2024-07-25,George,East,Electronics,Charger,16,582.42,9318.72
135,2024-01-15,Fiona,South,Mobile,Headphones,19,342.62,6509.78
136,2024-12-11,Hannah,East,Accessories,Charger,2,532.12,1064.24
137,2024-02-11,Diana,West,Mobile,Keyboard,17,668.58,11365.86
138,2024-06-27,Edward,East,Accessories,Mouse,14,353.67,4951.38
139,2024-03-03,Fiona,East,Accessories,Laptop,16,994.51,15912.16
140,2024-12-17,Charlie,North,Computing,Mouse,5,565.96,2829.8
141,2024-08-18,Diana,South,Computing,Keyboard,10,825.34,8253.4
142,2024-08-28,Charlie,West,Electronics,Tablet,17,726.51,12350.67
143,2024-02-21,Edward,North,Computing,Mouse,13,853.54,11096.02
144,2024-04-05,Fiona,South,Accessories,Monitor,16,177.93,2846.88
145,2024-08-09,Bob,West,Mobile,Tablet,9,226.44,2037.96
146,2024-08-18,Hannah,West,Mobile,Tablet,4,489.97,1959.88
147,2024-08-24,Fiona,West,Electronics,Tablet,16,853.07,13649.12
148,2024-05-22,Hannah,South,Computing,Headphones,11,201.62,2217.82
149,2024-06-19,Edward,West,Electronics,Smartphone,7,971.21,6798.47
150,2024-01-29,Fiona,West,Accessories,Smartphone,17,131.96,2243.32
151,2024-02-05,Hannah,North,Computing,Laptop,13,179.2,2329.6
152,2024-01-13,George,East,Electronics,Charger,4,171.4,685.6
153,2024-06-08,Hannah,South,Mobile,Charger,14,588.08,8233.12
154,2024-11-22,Fiona,East,Mobile,Tablet,10,917.95,9179.5
155,2024-07-05,Alice,North,Electronics,Smartphone,10,258.84,2588.4
156,2024-08-30,Fiona,East,Electronics,Laptop,10,555.27,5552.7
157,2024-03-26,Fiona,West,Electronics,Headphones,12,179.89,2158.68
158,2024-10-10,Hannah,West,Accessories,Tablet,2,632.98,1265.96
159,2024-03-06,Charlie,South,Accessories,Monitor,9,127.63,1148.67
160,2024-06-18,Bob,South,Mobile,Headphones,5,493.85,2469.25
161,2024-02-14,Charlie,South,Accessories,Laptop,8,656.91,5255.28
162,2024-03-02,Hannah,North,Accessories,Headphones,14,581.23,8137.22
163,2024-05-13,Charlie,South,Computing,Monitor,7,144.3,1010.1
164,2024-10-10,Diana,North,Accessories,Charger,7,165.57,1158.99
165,2024-01-28,Alice,West,Computing,Headphones,9,673.03,6057.27
166,2024-04-17,Charlie,East,Accessories,Laptop,3,809.86,2429.58
167,2024-02-13,George,West,Mobile,Charger,14,908.53,12719.42
168,2024-12-05,Edward,West,Electronics,Charger,17,814.54,13847.18
169,2024-10-12,George,West,Mobile,Charger,18,974.05,17532.9
170,2024-11-26,Edward,South,Accessories,Monitor,12,411.21,4934.52
171,2024-05-07,Fiona,South,Electronics,Monitor,14,334.51,4683.14
172,2024-12-13,Diana,South,Electronics,Charger,13,33.04,429.52
173,2024-08-18,Alice,East,Electronics,Headphones,14,452.65,6337.1
174,2024-07-08,George,South,Computing,Monitor,9,653.11,5877.99
175,2024-08-12,Alice,North,Mobile,Mouse,19,816.33,15510.27
176,2024-10-09,George,West,Computing,Headphones,2,271.12,542.24
177,2024-04-30,Fiona,East,Electronics,Tablet,11,516.02,5676.22
178,2024-04-25,Edward,East,Mobile,Monitor,17,663.7,11282.9
179,2024-08-20,Bob,East,Mobile,Headphones,2,553.84,1107.68
180,2024-09-15,Diana,East,Accessories,Tablet,19,277.65,5275.35
181,2024-12-24,George,East,Computing,Monitor,7,797.3,5581.1
182,2024-07-16,George,North,Computing,Tablet,18,177.49,3194.82
183,2024-05-16,Fiona,West,Accessories,Keyboard,13,905.45,11770.85
184,2024-11-13,Diana,East,Computing,Monitor,5,952.83,4764.15
185,2024-06-13,Edward,West,Electronics,Keyboard,18,368.75,6637.5
186,2024-08-12,Edward,South,Electronics,Laptop,16,379.3,6068.8
187,2024-11-02,George,East,Computing,Laptop,15,744.56,11168.4
188,2024-08-21,Bob,East,Accessories,Headphones,8,459.01,3672.08
189,2024-06-20,Bob,West,Mobile,Smartphone,15,33.47,502.05
190,2024-05-31,Alice,East,Computing,Keyboard,1,920.28,920.28
191,2024-11-10,Diana,East,Mobile,Keyboard,17,433.6,7371.2
192,2024-06-08,Diana,East,Accessories,Laptop,15,207.48,3112.2
193,2024-04-05,Edward,North,Mobile,Keyboard,14,557.89,7810.46
194,2024-08-20,Alice,North,Accessories,Smartphone,14,222.81,3119.34
195,2024-06-28,Fiona,East,Accessories,Charger,10,209.99,2099.9
196,2024-04-22,Diana,North,Electronics,Tablet,2,548.0,1096.0
197,2024-11-13,Alice,South,Electronics,Tablet,6,394.09,2364.54
198,2024-02-21,Alice,East,Accessories,Smartphone,17,575.13,9777.21
199,2024-09-24,George,South,Computing,Keyboard,5,996.84,4984.2
200,2024-10-21,Edward,West,Electronics,Keyboard,5,859.72,4298.6
201,2024-04-22,Alice,South,Accessories,Keyboard,15,12.63,189.45
202,2024-04-10,Hannah,West,Mobile,Mouse,15,55.3,829.5
203,2024-04-22,Bob,East,Mobile,Headphones,11,612.03,6732.33
204,2024-03-21,Hannah,West,Computing,Monitor,5,628.12,3140.6
205,2024-07-05,Bob,West,Mobile,Smartphone,1,878.8,878.8
206,2024-04-22,Charlie,South,Mobile,Smartphone,11,630.91,6940.01
207,2024-01-02,Edward,South,Accessories,Mouse,11,231.58,2547.38
208,2024-05-09,George,South,Mobile,Smartphone,6,471.17,2827.02
209,2024-08-07,Fiona,East,Mobile,Charger,8,809.94,6479.52
210,2024-02-23,Hannah,East,Mobile,Charger,2,923.21,1846.42
211,2024-12-08,Hannah,South,Mobile,Smartphone,15,240.73,3610.95
212,2024-08-11,Charlie,East,Accessories,Mouse,9,541.91,4877.19
213,2024-08-12,Bob,East,Mobile,Smartphone,15,163.13,2446.95
214,2024-05-05,George,West,Computing,Keyboard,8,499.51,3996.08
215,2024-05-09,Charlie,West,Electronics,Mouse,16,94.66,1514.56
216,2024-02-22,Edward,South,Computing,Headphones,14,942.02,13188.28
217,2024-06-20,George,East,Electronics,Laptop,15,639.87,9598.05
218,2024-08-05,Edward,West,Computing,Keyboard,13,854.95,11114.35
219,2024-06-08,Alice,North,Electronics,Charger,9,998.3,8984.7
220,2024-07-16,Diana,East,Electronics,Keyboard,1,186.75,186.75
221,2024-09-03,Alice,North,Electronics,Monitor,6,695.67,4174.02
222,2024-11-19,Edward,South,Electronics,Mouse,8,887.55,7100.4
223,2024-07-21,Hannah,East,Accessories,Charger,18,578.06,10405.08
224,2024-07-02,George,South,Computing,Laptop,18,641.5,11547.0
225,2024-05-02,Bob,South,Electronics,Smartphone,17,410.63,6980.71
226,2024-09-11,Fiona,South,Computing,Laptop,16,676.39,10822.24
227,2024-10-20,Bob,South,Mobile,Headphones,13,398.6,5181.8
228,2024-10-06,George,South,Electronics,Tablet,4,479.24,1916.96
229,2024-11-20,Alice,East,Computing,Keyboard,4,107.4,429.6
230,2024-04-07,Fiona,North,Accessories,Mouse,14,12.77,178.78
231,2024-07-16,George,East,Computing,Mouse,5,59.88,299.4
232,2024-08-27,Edward,East,Electronics,Laptop,16,196.56,3144.96
233,2024-05-23,Hannah,East,Mobile,Monitor,14,459.32,6430.48
234,2024-04-06,Bob,West,Computing,Charger,14,25.89,362.46
235,2024-07-19,Edward,West,Mobile,Headphones,14,160.16,2242.24
236,2024-05-03,Fiona,East,Accessories,Tablet,14,782.54,10955.56
237,2024-07-05,Fiona,North,Computing,Headphones,19,763.36,14503.84
238,2024-11-21,Bob,East,Computing,Mouse,3,790.78,2372.34
239,2024-12-14,Edward,South,Accessories,Smartphone,17,921.93,15672.81
240,2024-09-15,Charlie,West,Accessories,Tablet,14,123.48,1728.72
241,2024-05-27,Edward,West,Accessories,Charger,10,167.32,1673.2
242,2024-09-08,Fiona,East,Electronics,Charger,13,336.89,4379.57
243,2024-12-11,Edward,East,Electronics,Mouse,4,915.57,3662.28
244,2024-05-26,Hannah,North,Computing,Monitor,11,776.6,8542.6
245,2024-05-27,George,North,Computing,Tablet,15,327.5,4912.5
246,2024-12-17,Alice,South,Computing,Mouse,15,92.2,1383.0
247,2024-07-17,Hannah,East,Mobile,Monitor,2,618.3,1236.6
248,2024-11-03,Charlie,East,Accessories,Smartphone,11,260.54,2865.94
249,2024-05-07,Diana,East,Computing,Monitor,2,533.5,1067.0
250,2024-02-08,George,West,Accessories,Headphones,5,942.09,4710.45
251,2024-12-03,Alice,South,Electronics,Laptop,13,574.75,7471.75
252,2024-12-25,Diana,North,Accessories,Headphones,1,924.22,924.22
253,2024-05-08,Bob,West,Mobile,Charger,7,396.07,2772.49
254,2024-09-23,Diana,West,Mobile,Mouse,7,635.18,4446.26
255,2024-05-30,George,West,Accessories,Mouse,10,894.42,8944.2
256,2024-10-24,Edward,West,Mobile,Keyboard,6,590.05,3540.3
257,2024-04-08,George,South,Mobile,Headphones,12,616.82,7401.84
258,2024-09-19,Hannah,East,Electronics,Tablet,13,717.73,9330.49
259,2024-09-08,Diana,North,Computing,Charger,11,882.7,9709.7
260,2024-05-23,Fiona,North,Mobile,Smartphone,18,92.74,1669.32
261,2024-12-11,Alice,West,Computing,Charger,2,340.18,680.36
262,2024-04-21,Alice,West,Accessories,Keyboard,16,400.7,6411.2
263,2024-02-29,Diana,South,Accessories,Keyboard,2,910.16,1820.32
264,2024-01-02,Alice,West,Mobile,Keyboard,19,956.23,18168.37
265,2024-10-30,Fiona,North,Accessories,Mouse,6,124.78,748.68
266,2024-09-10,George,North,Electronics,Laptop,1,123.51,123.51
267,2024-05-19,Alice,East,Mobile,Monitor,11,935.19,10287.09
268,2024-02-06,Diana,East,Mobile,Tablet,18,299.29,5387.22
269,2024-06-08,Charlie,North,Mobile,Charger,10,245.61,2456.1
270,2024-01-09,Charlie,North,Accessories,Mouse,18,40.44,727.92
271,2024-08-20,Bob,South,Accessories,Charger,1,279.22,279.22
272,2024-04-08,Hannah,South,Mobile,Smartphone,19,695.06,13206.14
273,2024-05-26,Alice,North,Computing,Mouse,16,428.91,6862.56
274,2024-10-30,Hannah,West,Accessories,Laptop,7,519.29,3635.03
275,2024-07-26,George,East,Accessories,Charger,15,917.71,13765.65
276,2024-05-10,Diana,North,Mobile,Mouse,1,119.12,119.12
277,2024-05-31,Alice,West,Computing,Mouse,9,75.88,682.92
278,2024-02-23,Edward,North,Mobile,Headphones,2,852.67,1705.34
279,2024-04-29,Fiona,East,Accessories,Smartphone,17,775.98,13191.66
280,2024-06-09,Alice,East,Mobile,Keyboard,10,267.42,2674.2
281,2024-04-25,Alice,South,Mobile,Smartphone,6,327.61,1965.66
282,2024-03-15,Hannah,South,Mobile,Smartphone,5,313.73,1568.65
283,2024-04-22,Hannah,South,Computing,Headphones,8,649.57,5196.56
284,2024-04-13,Charlie,South,Mobile,Monitor,8,65.91,527.28
285,2024-12-05,Fiona,East,Accessories,Mouse,5,491.95,2459.75
286,2024-09-10,Diana,West,Mobile,Tablet,12,138.2,1658.4
287,2024-08-14,Alice,West,Computing,Keyboard,7,820.64,5744.48
288,2024-04-21,Charlie,West,Electronics,Charger,13,383.76,4988.88
289,2024-04-08,Hannah,North,Computing,Monitor,13,529.93,6889.09
290,2024-06-01,Bob,South,Mobile,Laptop,17,34.17,580.89
291,2024-12-14,Fiona,South,Electronics,Mouse,4,62.97,251.88
292,2024-12-03,Charlie,East,Mobile,Keyboard,18,676.68,12180.24
293,2024-07-12,Charlie,East,Computing,Tablet,10,767.94,7679.4
294,2024-11-05,George,North,Electronics,Mouse,3,711.49,2134.47
295,2024-06-11,Charlie,North,Electronics,Laptop,12,738.33,8859.96
296,2024-07-26,George,West,Mobile,Headphones,1,109.1,109.1
297,2024-06-17,Alice,East,Mobile,Monitor,11,694.98,7644.78
298,2024-06-09,Alice,South,Computing,Mouse,18,185.84,3345.12
299,2024-03-08,Hannah,West,Mobile,Keyboard,13,102.53,1332.89
300,2024-10-15,Bob,South,Electronics,Smartphone,17,758.38,12892.46
301,2024-10-03,Edward,West,Accessories,Charger,8,889.96,7119.68
302,2024-10-30,Edward,South,Accessories,Charger,19,718.13,13644.47
303,2024-05-14,Edward,North,Computing,Charger,17,806.55,13711.35
304,2024-07-13,Hannah,West,Mobile,Tablet,2,991.13,1982.26
305,2024-05-07,George,South,Computing,Mouse,3,139.08,417.24
306,2024-02-02,Hannah,South,Accessories,Charger,3,965.33,2895.99
307,2024-06-24,Fiona,East,Accessories,Keyboard,6,603.19,3619.14
308,2024-01-22,Fiona,West,Mobile,Smartphone,10,814.19,8141.9
309,2024-08-25,Bob,South,Electronics,Keyboard,18,651.92,11734.56
310,2024-06-06,Fiona,East,Mobile,Mouse,18,572.19,10299.42
311,2024-02-07,Edward,South,Accessories,Laptop,14,705.1,9871.4
312,2024-08-17,Edward,West,Electronics,Smartphone,16,323.66,5178.56
313,2024-12-30,Hannah,North,Computing,Smartphone,7,924.65,6472.55
314,2024-02-20,Charlie,West,Accessories,Keyboard,1,119.72,119.72
315,2024-09-20,Fiona,West,Computing,Headphones,17,321.44,5464.48
316,2024-10-09,Hannah,South,Electronics,Mouse,5,36.01,180.05
317,2024-01-27,Alice,South,Computing,Charger,1,274.97,274.97
318,2024-08-13,Alice,West,Accessories,Headphones,17,222.12,3776.04
319,2024-10-03,Charlie,East,Mobile,Monitor,10,54.38,543.8
320,2024-10-12,Charlie,East,Computing,Charger,12,494.32,5931.84
321,2024-04-06,Charlie,East,Accessories,Laptop,2,471.29,942.58
322,2024-10-10,Hannah,South,Accessories,Headphones,16,82.36,1317.76
323,2024-11-12,Alice,South,Electronics,Keyboard,15,265.54,3983.1
324,2024-10-30,Edward,West,Accessories,Mouse,13,953.56,12396.28
325,2024-05-26,Charlie,North,Mobile,Headphones,18,115.18,2073.24
326,2024-01-04,Bob,South,Mobile,Monitor,14,308.49,4318.86
327,2024-02-04,George,West,Computing,Tablet,18,40.68,732.24
328,2024-07-10,Hannah,West,Computing,Monitor,2,153.14,306.28
329,2024-02-18,Charlie,North,Computing,Smartphone,2,700.9,1401.8
330,2024-01-17,George,East,Computing,Charger,3,369.88,1109.64
331,2024-06-20,Diana,West,Mobile,Mouse,5,454.82,2274.1
332,2024-08-07,Charlie,West,Electronics,Smartphone,16,161.19,2579.04
333,2024-06-06,Alice,West,Computing,Headphones,15,683.73,10255.95
334,2024-02-15,Fiona,East,Electronics,Headphones,12,752.76,9033.12
335,2024-01-06,Charlie,East,Accessories,Monitor,9,185.21,1666.89
336,2024-04-08,Hannah,North,Accessories,Monitor,14,49.77,696.78
337,2024-08-20,Fiona,South,Computing,Keyboard,16,85.54,1368.64
338,2024-02-06,Diana,East,Accessories,Laptop,11,658.76,7246.36
339,2024-10-06,Bob,South,Electronics,Keyboard,6,139.83,838.98
340,2024-12-14,Fiona,South,Electronics,Smartphone,10,496.45,4964.5
341,2024-10-28,George,East,Accessories,Keyboard,8,156.88,1255.04
342,2024-06-29,Edward,West,Computing,Monitor,16,174.3,2788.8
343,2024-04-04,Charlie,North,Electronics,Mouse,3,9.34,28.02
344,2024-04-08,Diana,South,Electronics,Keyboard,2,324.22,648.44
345,2024-07-06,Diana,West,Mobile,Tablet,16,94.35,1509.6
346,2024-04-25,Fiona,East,Computing,Charger,19,396.99,7542.81
347,2024-07-09,Bob,South,Mobile,Laptop,9,599.8,5398.2
348,2024-09-09,Alice,South,Accessories,Monitor,16,370.69,5931.04
349,2024-06-09,Charlie,South,Accessories,Mouse,4,706.56,2826.24
350,2024-09-12,Diana,West,Mobile,Headphones,10,742.74,7427.4
351,2024-11-18,Bob,West,Computing,Charger,19,698.12,13264.28
352,2024-05-07,Edward,West,Electronics,Keyboard,13,937.03,12181.39
353,2024-01-18,Diana,South,Accessories,Monitor,18,241.11,4339.98
354,2024-10-07,Bob,South,Computing,Headphones,15,193.51,2902.65
355,2024-08-10,Hannah,North,Computing,Headphones,4,611.66,2446.64
356,2024-02-23,Alice,North,Accessories,Smartphone,9,596.9,5372.1
357,2024-02-27,Alice,West,Accessories,Smartphone,4,512.55,2050.2
358,2024-11-18,Diana,West,Computing,Mouse,16,9.33,149.28
359,2024-12-25,George,East,Electronics,Monitor,15,557.46,8361.9
360,2024-06-22,Diana,West,Mobile,Charger,2,933.13,1866.26
361,2024-10-06,Fiona,North,Accessories,Mouse,14,337.9,4730.6
362,2024-04-23,Charlie,North,Mobile,Monitor,3,967.76,2903.28
363,2024-10-14,Bob,North,Computing,Tablet,4,359.97,1439.88
364,2024-12-07,Diana,South,Mobile,Laptop,1,144.16,144.16
365,2024-05-30,Charlie,South,Electronics,Laptop,9,401.41,3612.69
366,2024-05-06,Fiona,West,Computing,Charger,17,497.14,8451.38
367,2024-06-03,Hannah,East,Electronics,Monitor,14,631.32,8838.48
368,2024-09-29,Hannah,East,Computing,Smartphone,17,507.35,8624.95
369,2024-04-13,Charlie,East,Electronics,Charger,1,539.04,539.04
370,2024-10-25,Diana,South,Computing,Keyboard,10,28.95,289.5
371,2024-09-02,Alice,North,Electronics,Mouse,16,257.35,4117.6
372,2024-06-24,Bob,North,Computing,Tablet,19,314.14,5968.66
373,2024-02-08,Bob,South,Electronics,Laptop,3,987.15,2961.45
374,2024-06-18,Hannah,East,Computing,Monitor,12,299.09,3589.08
375,2024-09-03,Hannah,East,Electronics,Smartphone,3,897.1,2691.3
376,2024-01-26,Alice,West,Accessories,Smartphone,15,308.21,4623.15
377,2024-12-20,George,West,Mobile,Smartphone,17,100.63,1710.71
378,2024-11-01,Diana,East,Computing,Mouse,18,251.38,4524.84
379,2024-01-13,Hannah,South,Electronics,Keyboard,7,276.46,1935.22
380,2024-11-11,Hannah,East,Accessories,Headphones,19,978.36,18588.84
381,2024-11-08,Hannah,West,Computing,Charger,7,675.92,4731.44
382,2024-02-05,Bob,East,Computing,Mouse,5,932.02,4660.1
383,2024-06-21,Diana,South,Computing,Keyboard,8,835.82,6686.56
384,2024-01-20,Fiona,North,Mobile,Smartphone,16,580.71,9291.36
385,2024-11-16,Diana,South,Electronics,Monitor,16,677.01,10832.16
386,2024-09-20,Charlie,South,Electronics,Charger,19,626.71,11907.49
387,2024-05-21,Alice,West,Computing,Tablet,15,667.93,10018.95
388,2024-05-22,George,South,Computing,Keyboard,7,268.45,1879.15
